job_id,source_job_id,skill_name,score,irrelevant
JT0001,1,読解力,2.371,0
JT0001,1,傾聴力,2.829,0
JT0001,1,文章力,2.943,0
JT0001,1,説明力,3.286,0
JT0001,1,外国語を読む,2.171,0
JT0001,1,外国語を聞く,2.114,0
JT0001,1,外国語で書く,2.343,0
JT0001,1,外国語で話す,2.086,0
JT0001,1,数学的素養,2.657,0
JT0001,1,科学的素養,2.886,0
JT0001,1,論理と推論（批判的思考）,2.971,0
JT0001,1,新しい情報の応用力,3.057,0
JT0001,1,学習方法の選択・実践,3.2,0
JT0001,1,継続的観察と評価,3.314,0
JT0001,1,他者の反応の理解,3.114,0
JT0001,1,他者との調整,3.114,0
JT0001,1,説得,3.057,0
JT0001,1,交渉,2.971,0
JT0001,1,指導,3.257,0
JT0001,1,対人援助サービス,3.029,0
JT0001,1,複雑な問題解決,3.343,0
JT0001,1,要件分析（仕様作成）,2.857,0
JT0001,1,カスタマイズと開発,2.857,0
JT0001,1,道具、機器、設備の選択,3.4,0
JT0001,1,設置と設定,3,0
JT0001,1,プログラミング,2.629,0
JT0001,1,計器監視,2.514,0
JT0001,1,操作と制御,2.886,0
JT0001,1,保守点検,2.629,0
JT0001,1,故障等の原因特定,2.829,0
JT0001,1,修理,3.086,0
JT0001,1,クオリティチェック,3.257,0
JT0001,1,合理的な意思決定,2.829,0
JT0001,1,企業・組織の活動の分析,2.629,0
JT0001,1,企業・組織の活動の評価,2.429,0
JT0001,1,時間管理,2.771,0
JT0001,1,資金管理,2.6,0
JT0001,1,資材管理,2.6,0
JT0001,1,人材管理,2.657,0
JT0002,2,読解力,2.559,0
JT0002,2,傾聴力,2.441,0
JT0002,2,文章力,2.206,0
JT0002,2,説明力,2.382,0
JT0002,2,外国語を読む,1.029,0
JT0002,2,外国語を聞く,0.5,1
JT0002,2,外国語で書く,0.471,1
JT0002,2,外国語で話す,0.471,1
JT0002,2,数学的素養,1.324,0
JT0002,2,科学的素養,1.235,0
JT0002,2,論理と推論（批判的思考）,1.265,0
JT0002,2,新しい情報の応用力,1.735,0
JT0002,2,学習方法の選択・実践,1.824,0
JT0002,2,継続的観察と評価,1.412,0
JT0002,2,他者の反応の理解,2.059,0
JT0002,2,他者との調整,2.059,0
JT0002,2,説得,2.029,0
JT0002,2,交渉,1.618,0
JT0002,2,指導,2.412,0
JT0002,2,対人援助サービス,2.059,0
JT0002,2,複雑な問題解決,1.882,0
JT0002,2,要件分析（仕様作成）,1.5,0
JT0002,2,カスタマイズと開発,1.559,0
JT0002,2,道具、機器、設備の選択,1.618,0
JT0002,2,設置と設定,1.618,0
JT0002,2,プログラミング,1,0
JT0002,2,計器監視,1.618,0
JT0002,2,操作と制御,1.794,0
JT0002,2,保守点検,1.5,0
JT0002,2,故障等の原因特定,1.618,0
JT0002,2,修理,1.441,0
JT0002,2,クオリティチェック,1.912,0
JT0002,2,合理的な意思決定,1.765,0
JT0002,2,企業・組織の活動の分析,1.559,0
JT0002,2,企業・組織の活動の評価,1.765,0
JT0002,2,時間管理,2.059,0
JT0002,2,資金管理,1.412,0
JT0002,2,資材管理,1.647,0
JT0002,2,人材管理,1.706,0
JT0003,3,読解力,2.7,0
JT0003,3,傾聴力,3.175,0
JT0003,3,文章力,2.55,0
JT0003,3,説明力,2.775,0
JT0003,3,外国語を読む,1.125,0
JT0003,3,外国語を聞く,0.9,0
JT0003,3,外国語で書く,0.75,0
JT0003,3,外国語で話す,0.8,0
JT0003,3,数学的素養,1.925,0
